province,region,country,date,day.maxtemp_c,day.maxwind_kph,day.totalprecip_mm,day.avghumidity,day.uv,day.daily_will_it_rain
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,34.4,24.5,0.0,65,8.0,0
Kon Tum,Tây Nguyên,Vietnam,2024-04-22,35.3,14.0,0.1,47,8.0,1
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,27.4,5.7,0.3,58,6.0,1
Lâm Đồng,Tây Nguyên,Vietnam,2024-04-22,29.7,6.5,6.5,71,6.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,30.2,9.7,11.9,76,7.0,1
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,31.6,12.6,0.0,65,7.0,0
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,37.4,19.8,0.3,60,8.0,1
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,30.4,20.2,0.6,81,7.0,1
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,31.6,19.1,0.0,78,7.0,0
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,30.4,20.2,0.6,81,7.0,1
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,32.9,27.4,0.0,71,7.0,0
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,31.7,17.3,13.2,76,7.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,35.0,27.4,0.0,70,9.0,0
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,33.7,14.4,0.9,68,7.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,35.3,19.1,0.0,70,9.0,0
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,37.8,24.5,0.0,66,9.0,0
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,27.9,20.2,16.1,80,6.0,1
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,36.4,17.6,0.0,56,9.0,0
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,36.0,20.5,0.0,59,9.0,0
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,37.4,13.3,0.0,25,9.0,0
Tây Ninh,Đông Nam Bộ,Vietnam,2024-04-22,39.2,20.1,0.0,51,9.0,0
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,29.1,23.4,0.1,83,6.0,1
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,30.4,10.4,2.7,78,7.0,1
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,29.6,18.0,0.9,85,6.0,1
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-22,36.4,17.6,0.0,56,9.0,0
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,37.3,18.4,0.2,61,8.0,1
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,36.0,19.1,0.0,63,9.0,0
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,31.7,17.3,13.2,76,7.0,1
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-22,39.3,16.6,0.0,57,9.0,0
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-04-22,31.7,17.3,13.2,76,7.0,1
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-22,31.7,17.3,13.2,76,7.0,1
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,39.2,16.3,0.0,53,9.0,0
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-04-23,30.2,21.6,0.0,72,8.0,0
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,28.3,12.6,21.9,80,6.0,1
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,27.0,8.7,1.1,92,6.0,1
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,35.9,19.8,0.0,60,9.0,0
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,28.3,12.6,21.9,80,6.0,1
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,37.6,18.4,0.0,58,9.0,0
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,35.4,28.4,0.0,71,9.0,0
Bình Dương,Đông Nam Bộ,Vietnam,2024-04-23,38.3,23.0,0.0,55,9.0,0
Bình Phước,Đông Nam Bộ,Vietnam,2024-04-23,37.1,19.4,0.0,63,9.0,0
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,33.0,20.5,0.0,72,8.0,0
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,38.0,13.0,0.5,61,8.0,1
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,39.3,21.2,0.0,56,9.0,0
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,27.9,8.3,4.7,90,6.0,1
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,36.6,18.0,0.0,69,9.0,0
Đắk Lắk,Tây Nguyên,Vietnam,2024-04-23,38.3,15.5,1.4,52,8.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-04-23,38.3,15.5,1.4,52,8.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,38.1,9.7,0.0,28,9.0,0
Đồng Nai,Đông Nam Bộ,Vietnam,2024-04-23,38.3,23.0,0.0,55,9.0,0
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,38.6,17.6,0.3,55,8.0,1
Gia Lai,Tây Nguyên,Vietnam,2024-04-23,36.7,14.8,0.2,45,8.0,1
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,25.3,13.4,6.0,79,6.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,30.8,18.0,5.3,82,7.0,1
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,29.7,14.0,2.2,84,6.0,1
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,32.6,19.1,0.0,81,8.0,0
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,30.2,14.0,4.0,77,7.0,1
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,29.5,11.9,3.6,77,6.0,1
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,39.3,21.2,0.0,56,9.0,0
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-04-23,38.3,23.0,0.0,55,9.0,0
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,29.3,12.4,6.1,84,6.0,1
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,30.8,18.0,5.3,82,7.0,1
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,33.5,22.7,0.0,72,8.0,0
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,34.1,26.6,0.0,67,8.0,0
Kon Tum,Tây Nguyên,Vietnam,2024-04-23,36.7,14.8,0.2,45,8.0,1
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,27.4,7.9,1.6,68,6.0,1
Lâm Đồng,Tây Nguyên,Vietnam,2024-04-23,30.3,5.4,8.73,76,7.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,27.0,13.0,6.9,82,6.0,1
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,31.2,10.8,0.0,71,7.0,0
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,37.7,22.0,0.1,57,8.0,1
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,30.8,18.0,5.3,82,7.0,1
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,30.9,19.4,0.0,86,8.0,0
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,30.8,18.0,5.3,82,7.0,1
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,33.0,25.9,0.0,73,8.0,0
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,29.5,15.5,5.1,82,6.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,35.4,28.4,0.0,71,9.0,0
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,35.7,12.2,0.7,71,8.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,36.6,18.0,0.0,69,9.0,0
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,37.7,24.1,3.4,65,9.0,1
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,29.7,11.9,7.9,78,6.0,1
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,37.8,18.0,0.0,55,8.0,0
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,35.9,19.8,0.0,60,9.0,0
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,38.1,9.7,0.0,28,9.0,0
Tây Ninh,Đông Nam Bộ,Vietnam,2024-04-23,40.0,20.5,0.0,49,10.0,0
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,29.8,21.6,4.4,83,6.0,1
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,28.8,9.3,0.6,86,6.0,1
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,31.1,20.5,5.5,84,7.0,1
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-23,37.8,18.0,0.0,55,8.0,0
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,37.6,18.4,0.0,58,9.0,0
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,36.8,19.4,0.0,60,9.0,0
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,29.5,15.5,5.1,82,6.0,1
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-23,38.7,23.4,0.0,56,9.0,0
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-04-23,29.5,15.5,5.1,82,6.0,1
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-23,29.5,15.5,5.1,82,6.0,1
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-24,39.2,21.1,0.0,53,8.0,0
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-04-24,31.3,23.8,0.1,75,7.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-24,31.1,21.2,8.7,78,7.0,1
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-24,26.1,6.7,4.6,97,6.0,1
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-24,36.3,20.2,0.0,62,9.0,0
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-04-24,31.1,21.2,8.7,78,7.0,1
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-24,38.6,19.4,0.0,62,8.0,0
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,34.5,25.9,0.0,75,8.0,0
Bình Dương,Đông Nam Bộ,Vietnam,2024-04-24,37.6,26.3,0.0,60,8.0,0
Bình Phước,Đông Nam Bộ,Vietnam,2024-04-24,37.7,22.0,0.0,66,8.0,0
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,33.3,22.0,0.0,73,7.0,0
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-24,37.6,18.7,0.0,59,9.0,0
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-24,39.1,19.2,0.0,58,8.0,0
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-24,25.3,7.8,0.7,96,6.0,1
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,32.3,16.9,0.0,78,8.0,0
Đắk Lắk,Tây Nguyên,Vietnam,2024-04-24,39.2,9.4,0.4,59,8.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-04-24,39.2,9.4,0.4,59,8.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-24,36.2,13.0,5.79,58,8.0,1
Đồng Nai,Đông Nam Bộ,Vietnam,2024-04-24,37.6,26.3,0.0,60,8.0,0
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-24,39.0,18.4,0.0,57,8.0,0
Gia Lai,Tây Nguyên,Vietnam,2024-04-24,36.8,15.1,0.2,50,8.0,1
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-24,28.6,28.4,2.6,75,6.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-04-24,29.8,17.6,1.9,83,6.0,1
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-04-24,30.2,18.7,20.6,80,7.0,1
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,31.0,18.7,0.0,83,7.0,0
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-04-24,29.7,19.1,21.6,80,6.0,1
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-04-24,30.2,19.1,25.4,78,7.0,1
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-24,39.1,19.2,0.0,58,8.0,0
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-04-24,37.6,26.3,0.0,60,8.0,0
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-24,30.2,9.7,10.42,88,7.0,1
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-04-24,29.8,17.6,1.9,83,6.0,1
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,33.1,21.2,0.0,77,8.0,0
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-24,34.4,24.8,0.3,65,7.0,1
Kon Tum,Tây Nguyên,Vietnam,2024-04-24,36.8,15.1,0.2,50,8.0,1
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-24,25.8,6.8,9.32,81,6.0,1
Lâm Đồng,Tây Nguyên,Vietnam,2024-04-24,31.5,9.4,1.78,76,7.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-24,30.3,15.5,3.4,82,7.0,1
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-04-24,29.9,10.4,11.18,78,6.0,1
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-04-24,37.4,23.0,0.0,61,8.0,0
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-04-24,29.8,17.6,1.9,83,6.0,1
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,31.4,16.9,0.0,84,7.0,0
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-04-24,29.8,17.6,1.9,83,6.0,1
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,32.8,23.8,0.0,76,8.0,0
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-04-24,28.9,11.1,11.87,86,6.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,34.5,25.9,0.0,75,8.0,0
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,31.2,15.1,0.0,84,7.0,0
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-04-24,32.3,16.9,0.0,78,8.0,0
